local_authority,level_two,crime,black,bad_very_bad,flat_hmo,five_plus,single,single_parent,smoking,unemployed,inactive,children,adult_under_thirty,sixtyfive_plus,stock
West Lindsey,43.2,6569,0.3,5,4.1,4.7,29.9,5.9,15,2.5,44.2,20.6,14.6,25.2,4991
Ashfield,51.3,10878,1.2,7.1,7.2,5.5,29.4,7.5,10.8,3.1,40.2,22.7,18.1,19.6,2157
Bassetlaw,47.3,9683,0.6,5.9,6.3,4.7,30.1,6.6,10.1,2.4,41.2,21.2,16.9,22.3,1751
Broxtowe,39.3,411,1.7,4.9,10.3,4.7,30.2,5.6,11.8,2.7,41.2,20.8,18.8,21.8,1449
Gedling,41.1,411,2.3,5,10.3,4.5,30.1,6.6,10.2,2.6,39.2,21.5,16.9,21.5,5275
Mansfield,50.7,11940,1.1,7.2,8.5,5.4,30.1,7,18,2.7,40.2,22.1,18.7,19.2,2326
Newark and Sherwood,44.1,8639,0.7,5.5,7.1,4.9,29.5,5.9,11.2,2.4,41.6,21,17,22.5,2711
Rushcliffe,31.1,18311,0.9,3.7,9.4,5,27.7,4.9,6.7,2.2,39.5,22.2,16.1,21.5,5037
"Herefordshire, County of",41.6,10918,0.3,4.6,10.1,5,30.7,5.3,11.1,2.3,41.3,19.8,15.2,26,11700
Telford and Wrekin,46.9,15634,2.9,6.5,9.2,7.1,27.7,7.8,12.6,3.3,39.2,24.5,19.2,17.6,14737
Stoke-on-Trent,51.7,30592,2.7,8,10.4,7.2,32.8,8.6,14.4,3.6,41.7,25,20.6,17.2,8523
Shropshire,41.3,18053,0.3,4.5,7.1,5.2,29.7,4.9,9.6,2.4,41.6,20,15.4,25.3,15218
Cannock Chase,49.8,6945,0.5,6.4,10.1,5.2,28.9,6.5,12.5,3,37.7,22,18.9,19.5,2529
East Staffordshire,45.3,8770,1.1,4.9,10.5,7.1,28.8,6.3,13.3,2.8,38.1,23.1,18.7,18.6,7145
Lichfield,41.3,5848,0.6,4.5,10.9,4.7,27.7,5.3,7.4,2.5,40.6,20.6,16,24,6363
Newcastle-under-Lyme,43.4,8287,1,5.9,9.4,4.9,31.1,6.2,10.4,2.9,42.2,21.5,18.7,21.7,9701
South Staffordshire,44,5589,0.9,4.6,8,4.8,27.2,5,9.1,2.4,43.3,19.3,15.8,25.1,6911
Stafford,39.2,8904,1.1,4.5,10.7,4.3,29.6,5.6,8.2,2.3,39.8,20.6,16.5,23,8766
Staffordshire Moorlands,43.9,4934,0.2,4.8,3.8,4.6,29.6,4.7,8.3,2,42.3,19.6,14.3,26.3,3863
Tamworth,51.6,5787,0.6,5.9,12.2,6,26.7,7.6,12.4,3.3,36.9,23.1,19,18.9,2007
North Warwickshire,49,4440,0.6,5.3,7.5,5.4,27.7,6.3,14.6,2.7,38.4,21.1,16.8,21.8,1317
Nuneaton and Bedworth,49.5,11235,1.8,6,11.6,6.4,28.9,7.8,14.8,3.2,38.7,23.2,19,19.1,3438
Rugby,39.4,6949,2.7,4.4,11.5,6.1,27.2,6.3,11.8,2.5,34.5,23.5,18.5,18.3,3269
Stratford-on-Avon,36.6,16934,0.4,3.6,10,4.3,29.1,4.9,7.9,2.1,39.2,20.1,14.5,25.3,8923
Warwick,30.6,4440,1.1,3.8,19.4,5.2,30.3,5.1,10.7,2.8,38.2,22.2,20.7,19,4362
Bromsgrove,38.9,9926,0.8,3.9,9.5,5.3,27.4,5.9,8.7,2.4,39.2,22.4,14.7,23,4622
Malvern Hills,37.2,7214,0.3,4.2,10.1,4.4,29.5,4.7,9.4,2.3,44.3,19.8,13.2,28,5555
Redditch,48.1,9926,1.2,5.5,14.4,6.4,27.8,7.4,13.1,3.1,36.2,23.4,19.2,18.6,2372
Worcester,40,7214,1.2,5,18.9,5.6,31.7,6.4,12.3,3.5,36.2,22.6,21.3,17.6,7956
Wychavon,41.6,7214,0.3,4.2,8.9,4.7,27.6,5.3,10.2,2.2,40.3,20.2,15.2,24.8,9811
Wyre Forest,47.5,9926,0.4,5.6,11.1,4.7,31.7,6.1,10.3,2.9,43,20.6,15.7,25.3,7007
Birmingham,46.5,140284,11,7.4,23.9,13.9,31.5,9.7,14.3,5.9,44.4,28.5,22.7,13.2,45326
Coventry,41.9,37459,8.9,6.3,17.4,9.3,30.4,8.3,13.2,4.9,40.9,26.1,23.6,14.6,24995
Dudley,48.9,26385,2.5,6,13.2,6.6,30.4,7.5,11.5,3.8,41.1,23.2,18.2,20.5,5511
Sandwell,54,36241,8.7,7.8,18,11.8,29.2,9.4,16.6,5.3,41.7,27.2,19.9,14.6,7669
Solihull,41.2,18033,1.8,4.8,17.1,6.7,28.9,7.2,9.8,3.2,40.7,23.6,16.5,21.2,3595
Walsall,52,28813,4.6,7.1,16.1,10,28.6,8.9,13.6,4.5,42.4,26.3,18.9,17.4,28274
Wolverhampton,50.1,30261,9.3,7,19.5,9.4,30.9,9.3,12.8,5.6,41,25.5,19.7,16.5,7046
Peterborough,49.1,22894,4.1,6,16,9.6,27.8,8.7,13.1,3.7,36.1,26.9,20.5,14.2,16299
Luton,47,19005,10.1,6.2,23.4,16.1,26.7,8.2,14.5,5.2,37.6,28.6,22.1,11.7,4760
Southend-on-Sea,47.5,18445,2.9,5.6,33.5,5.9,33.3,7.5,11.1,3.6,39.5,23,18,19.2,3788
Thurrock,49.4,16024,11.9,5.3,22.6,9.9,24.4,8.9,13.5,3.8,33.2,27.1,20.1,13.5,2174
Bedford,40.7,14049,5.3,4.7,17,7.9,28.6,7,12.1,3.3,35.3,24.4,19.1,16.8,12935
Central Bedfordshire,40.1,15831,2.4,4,10.9,5.8,25.8,6.1,11.5,2.7,33.6,23.5,18.1,18,12605
Cambridge,21.3,15177,2.4,4.3,33.8,7.3,31.7,5,11.4,2.9,40.5,21.5,34.4,11.3,5395
East Cambridgeshire,39.9,3936,0.8,3.9,6.8,5.4,27.7,5.3,9.5,2.1,35.3,22.5,15.8,20.9,5667
Fenland,54.4,7731,0.8,6,7.9,5.8,29,6.5,19.8,2.7,41.8,21,17.4,22.9,5961
Huntingdonshire,40.9,10366,1.5,4.2,9.9,5.2,28.1,5.5,11.2,2.3,36,21.8,17.3,20.3,11120
South Cambridgeshire,31.2,7439,1.2,3.4,6.6,5.8,26.2,5.1,7.6,2.1,34.8,23.8,15.2,19.5,4720
Basildon,50.3,18503,4.8,5.4,17.9,7.4,28.1,7.9,13.4,3.3,36.8,25,19.1,17.1,5954
Braintree,47.4,10088,1.2,4.3,12.1,5.9,27.4,5.9,12.1,2.8,36.9,22.5,17.2,20.5,11636
Brentwood,40.2,5591,2.3,3.7,20.3,5.5,29.1,5.9,8.4,2.6,37.2,22.4,17.5,20.2,1061
Castle Point,54.5,5364,1.3,4.9,8.5,6.3,27.3,5.6,10,2.6,42.3,21,16.1,25.3,597
Chelmsford,40.8,15672,2.6,3.6,18.6,5.7,28.1,5.7,11.3,2.6,36.5,22.7,18.1,19.4,10946
Colchester,40.5,16708,3.5,4.4,19.1,6,29,7,10.8,3.5,37.6,23.5,20.7,17.8,5581
Epping Forest,44,9827,2.9,4.1,20.3,7.1,27.2,6.2,10.7,3.1,37,22.7,17.3,19.5,1882
Harlow,50.3,10641,6.2,5.8,25.7,7.6,28.8,9.6,15.1,3.9,33.2,25.9,20.4,14.5,2323
Maldon,47.6,3355,0.4,4.2,7.8,5.7,26.6,4.9,7.6,2.4,41.2,20.4,14.9,25.1,3449
Rochford,49.5,4433,0.7,3.8,10,5.8,26.3,5.2,6.2,2.6,39.9,21.6,15.5,23.3,3368
Tendring,54.4,12416,0.6,6.6,14.4,5.4,34.2,5.9,14.8,3.1,50.3,19.4,14.6,29.5,3082
Uttlesford,38.8,5382,0.8,3.1,9.4,6.4,25,5.3,13.1,2.4,35.4,23.8,14.7,20.2,2463
Broxbourne,47.4,6768,6.7,4.5,24.4,7.4,27.5,8.3,13.2,3.3,35.8,24,18.4,17.4,5553
Dacorum,39,9784,2.8,4,22,6.2,28.2,7,10.3,2.9,34.7,24.2,17.5,17.3,3971
Hertsmere,38.4,7557,4.8,4,26.3,7.5,27,7,11.1,3.2,35.6,24.5,17,17.8,7487
North Hertfordshire,36.2,6132,2.4,3.8,18.3,5.4,29.8,5.8,10.1,2.7,35,23,16.6,19.4,10854
Three Rivers,35.2,4714,2.4,3.6,18.1,7.3,26.3,5.7,7.2,2.8,34.5,24.5,15.6,18.1,5416
Watford,37.4,8268,6.3,4.6,34.3,9.4,28.1,6.6,10.4,3.8,30.9,25.1,21.3,12.6,7076
Breckland,49.9,7781,0.6,4.9,6.1,5.5,27.4,5.4,10.7,2.4,41.9,20.4,16.5,25,9042
Broadland,44.4,5114,0.5,4,4.5,4.3,28.1,4.9,9.7,2,41.3,19.9,14.5,25.9,6141
Great Yarmouth,55.1,9326,1.1,6.8,13.8,5.6,32.5,7.9,13.1,4.1,46.2,21.2,16.7,24,1935
King's Lynn and West Norfolk,50.6,9382,0.5,5.3,8.1,5.5,29.4,5.3,14.7,2.4,43.8,20.2,16.2,25.8,9801
North Norfolk,47.4,4557,0.2,4.9,8.4,3.9,33.7,4.3,10.1,2.2,51.1,16.9,12.5,33.5,6233
Norwich,38.3,16591,2.5,6.5,33.3,5.4,38.9,7,15.1,4.4,41.2,22.3,27.9,14.9,5803
South Norfolk,42.2,6164,0.8,3.9,5.7,4.6,27.7,5.1,10,2,40.2,21.2,15.1,24.3,8115
Babergh,44.3,296,0.5,3.8,6,4.9,28.3,4.8,12.6,2.4,42.1,20.2,14.1,26.5,2437
Ipswich,48.1,12881,3.5,5.5,23.1,6.8,32.4,7.7,13.4,3.7,36.4,24.6,20.5,16.6,4985
Mid Suffolk,43,296,0.5,3.7,5.2,5,27,4.5,9.5,2,40,20,15.4,25.4,2357
St Albans,28.3,8118,2.1,3.2,21,6.9,26.3,5.5,5.4,2.5,34.7,25.9,14.9,17.2,2814
Welwyn Hatfield,36.4,8613,6.1,4.3,22.1,7.8,28,6.8,13.2,3.9,36.5,24.2,22.1,15.7,3765
East Hertfordshire,37.6,7101,1.3,3.4,18.1,5.6,27.3,5.7,8.8,2.5,34.3,23.4,16.9,18.4,8997
Stevenage,45.2,6825,4.8,5.2,21.3,7.3,28.9,7.5,9.1,3.3,32.9,24.6,20.6,15.2,2237
East Suffolk,45.7,5236,0.6,5,8.6,4.8,32.3,5.4,11.6,2.7,45.9,19.9,14.4,27.8,10517
