local_authority,level_two,crime,black,bad_very_bad,flat_hmo,five_plus,single,single_parent,smoking,unemployed,inactive,children,adult_under_thirty,sixtyfive_plus,stock
Rother,44.7,6080,0.6,4.8,19.4,4.9,32.6,5.2,14,2.5,49.8,18.2,12.6,32.4,4573
Wealden,40.9,6679,0.4,3.8,10.2,5.5,27.5,4.8,8.5,2.2,42,20.4,13.8,26.6,3397
Basingstoke and Deane,39.2,1541,2,3.9,15.2,6.1,26.6,5.6,9.5,2.8,32.5,22.9,18.8,17.2,15011
East Hampshire,36.3,6216,0.5,3.2,13.1,5.3,26.4,4.7,8.2,2.3,38.2,21.7,14.6,23.1,6905
Eastleigh,38.8,8396,1,3.8,15.3,5.3,26.5,6,8.6,2.5,34.5,23.2,17.8,19.6,7932
Fareham,38.3,5846,0.6,3.5,12.2,4.5,26.7,4.6,8.5,2.2,39.7,20.3,15.3,24.5,1885
Gosport,46,6705,1.2,5.2,21.6,5.6,31.9,7.1,12.4,3.1,39.6,22,17.5,21.4,3049
Hart,33.8,1541,0.8,2.8,11.8,5.7,24.6,4.9,6.6,2.5,34.8,23.7,15.4,19.6,3747
Havant,46.5,10063,0.6,5.1,17.4,5.8,29.8,6.4,12.1,2.9,42.3,21.1,16.3,24.4,5885
New Forest,41.2,10693,0.4,3.8,12.2,4.7,29.3,4.7,8.3,2.1,45,19,13.2,29.3,3530
Rushmoor,44.3,1541,2.5,4.3,25.7,8,26.7,6.3,10.5,3.2,31.3,23,22,15.2,6777
Test Valley,38.3,7824,1.1,3.7,11.9,5.3,26.4,5.2,7.8,2.1,36.1,22,16.3,21.3,8559
Winchester,30.5,7454,0.6,3.3,14.7,5.9,27.7,4.7,6.5,2.6,39.6,23.8,16.8,20.9,3448
Ashford,44.3,10723,2.6,4.6,11.9,7.4,25.9,6.8,12,2.8,37.5,23.9,17.6,19.6,2900
Canterbury,37.6,14646,2.5,5,17.2,6.3,29.9,5.9,11.2,3.9,46.2,22.5,20.8,21.8,2961
Dartford,42.5,11181,10.5,4.5,23.2,8,25.9,7.6,10.4,3.3,31.8,26.4,20,13.6,2275
Dover,46.2,10331,0.7,5.8,14.9,5.7,31,6.6,12.4,3.2,43.8,21.4,16.1,24,2971
Gravesham,47.4,11181,6.5,5.2,18.6,9.3,26.9,7.7,13.4,3.8,37.3,25.4,18.5,17.3,1896
Maidstone,43.6,15255,2.1,4.4,16.2,6.7,26.4,6.2,12,2.7,36.5,23.1,18.4,19.1,10241
Sevenoaks,39.8,7539,1.6,3.8,13.3,6.5,26.5,5.6,9.1,2.4,39.2,24,14.3,21.6,6693
Folkestone and Hythe,45.9,8735,0.6,5.9,21.9,5.7,32.5,6.1,10.6,3.2,44.6,20.4,15.7,25.1,2155
Swale,49.9,14713,2.3,5.8,10.1,7.6,26.4,7.1,13.3,3.2,40.1,23.8,18.3,19,8856
Thanet,47.7,15218,1.1,6.8,24.1,5.8,33.5,7.5,14.5,3.6,45.1,21.9,16.4,23.6,4873
Tonbridge and Malling,41.9,8766,1,4.1,12.6,6.3,25.6,6.3,7,2.4,36.5,24.6,15.9,19.2,8620
Tunbridge Wells,36.7,7887,1,3.7,22.3,5.6,29.4,5.7,12.2,2.6,36.9,24.2,15.3,19.3,7555
Cherwell,40.4,11443,1.8,3.9,11,6.2,26.3,5.7,11.4,2.5,32.5,22.9,19.1,17.4,9261
Oxford,26.3,16223,4.7,4.4,29,10.4,29.1,6.1,9.3,3.2,43.2,24.3,31.3,11.7,4497
South Oxfordshire,33.6,6719,1,3.2,10.1,5.7,26.2,4.8,9.6,2.2,34.9,22.5,16.2,20.6,8207
Vale of White Horse,33.2,6718,1.7,3.2,12.3,5.6,26.8,5.2,7.3,2.2,34.8,23.1,17.3,19.7,8917
West Oxfordshire,36.8,5509,0.6,3.3,9.2,5.2,27.5,5.2,10.8,2.1,35.2,21.9,16.7,21.7,6945
Elmbridge,28.7,7722,1.2,2.9,23,6.2,26.9,5.4,7.4,2.8,35.6,25.7,13.4,17.8,5735
Epsom and Ewell,33.4,5131,1.9,3.2,23,7.2,24.3,5.3,4.8,2.8,35.4,24.6,15.8,18.1,2867
Guildford,29.8,10973,1.5,3.4,18.2,6.4,26.6,4.5,9.7,3.1,38.5,23.4,21.2,17.6,2573
Mole Valley,34.5,5013,0.8,3.2,18.3,5.5,29.8,4.2,9.6,2.3,39.1,21.4,13.6,23.9,4371
Reigate and Banstead,36.5,9439,2.9,3.5,24,6.5,26.4,5.9,9.5,2.8,34.7,24.2,16.8,17.8,7299
Runnymede,36.1,6200,1.8,3.7,21.7,6.8,28.5,5.5,9.5,3.6,38,23.7,20.6,17.2,2132
Spelthorne,42.3,8484,2.5,3.9,24.7,6.6,27.9,6.2,10.1,3.6,34.6,22.9,17.9,18,5432
Surrey Heath,37,4999,1.6,3.1,16.4,6.5,25.2,5,7.5,2.8,35.7,22.7,16.1,19.6,3725
Tandridge,38.3,4717,2.2,3.6,20.1,6.2,27.2,6,10,2.6,37.2,23.7,14.7,20.9,1461
Waverley,31.9,5755,0.7,2.9,15.4,5.6,27.9,4.5,8.1,2.3,39.1,24,13.6,21.7,1972
Woking,34,6789,1.8,3.7,24.7,7.6,26.8,5.2,4.2,3,33.4,24.1,17.9,16.6,1657
Adur,46,4841,0.8,5.1,20.4,5.5,30.4,5.7,10.1,2.8,40.9,21.9,14.7,23.6,1119
Arun,46.6,11542,0.5,4.5,19.5,5,31.3,5.2,10.8,2.6,44.9,19,15.2,28.4,4012
Chichester,37.3,8131,0.6,3.7,14.4,4.8,31.1,4.9,11.3,2.6,43.6,19.8,15.5,27.1,8802
Crawley,47.4,14635,4.5,5.2,24.7,9.5,25.3,7.8,18.2,5,32.1,25.3,21.2,13.3,2684
Horsham,37.6,7802,0.9,3.2,16.8,5,28.1,4.6,9.1,2.4,37.8,21.8,15,22.9,7386
Mid Sussex,36,8155,0.9,3.3,17.7,5.5,27.5,4.9,9,2.4,35.5,23.3,15.2,20.7,7909
Worthing,42.1,10376,1.2,4.9,32.9,4.9,33.8,5.9,15.1,2.9,39,21,16.7,22.5,4911
Bath and North East Somerset,31.5,13650,1,4.1,19.4,5.9,29.1,5.2,9.5,2.8,41.6,23,21.6,19.5,11968
